cust_num,date,inc_amt_usd
x2bgX9wBgAhtYMF7IiDnfOEHbrLWgk4N3U5Ci/k+oAM=,2023-04-10,99.28
5wwmcu89VkkcnxxxsYcZtYG61wsZ9gw3uP5gZgpbBXU=,2023-04-10,25.65
kgf145PEaK1RxRNqRv3pRjSqdtOqOEeCa0pH11PEBeI=,2023-04-10,100.07
Ms3fCccyQ2Kss7cDYIRmM/2vsEm3sq+isLliDbNcOp0=,2023-04-10,116.99
BJSada4MwsKKmn1b3ECz+b9ko/cJ+ZhbZ9sLM5J6lvA=,2023-04-10,12.25
t5jfrLLaH1dSipvTNgscfP2uP/IMxzuJ9jBj3QPXdas=,2023-04-10,37.26
ntsplKlEE2Y/nit4JOcs1mWbHznkCkaB+OBmZC7qD1o=,2023-04-10,277.99
w8AQajTYXauGpetMOX1Ra38/PRM2j86W5ngPlnJwpFE=,2023-04-10,22.23
I40fcnrjneVmxuJPgBDZfg0ywREduXJ5O1FYkFQ62Qw=,2023-04-10,152.79
RfNKy5ZHlp9dcRClEyZmkCxElk3bU2eHOANs46V7VLY=,2023-04-10,38.38
YjPPX0pbuSJu13PuhScJ6YoFiXPpP+1NfUP5X9vh29c=,2023-04-10,90.94
RU4zo6p/4EUX840OqDw4fcG1n0epc3z/uJqCQ+wEYxk=,2023-04-10,49.31
srIgAAhGKoWEdW14BQusnszG1m1UvVAyLnVRzzxyGco=,2023-04-10,99.74
hgwTyXfwEQP4uxCtl4tgx5FCT84q3LrQ1IVddzDTZP4=,2023-04-10,104.2
E0RtnTnjE8COKbAmoLsD0nH1xzLDFnlA2+6nS3UwSAs=,2023-04-10,290.37
CjG+cM0VS3ifUumSqYFt+474x2EArsNltvZUnqlJr9A=,2023-04-10,70.34
F6EZNjdBdTclskERVaxiIkYjDepZRGTD/8E4HkyDXIo=,2023-04-10,477.54
+FhAcwm9tVj22AA56Tyd4Foy+pQt7i9vIIm3sizRk4Q=,2023-04-10,87.22
2KIO9qpWsQWd2B0mJJhwm8iztt31lPSM4IHy4GXH0IA=,2023-04-10,44.32
BpTfnAhkbzHpjdCLEZYqpdBIoDrKAtv4CV5QePK9Ias=,2023-04-10,281.24
/FKPmuEc1fEgghfm2YceGlS17bE63tiJXu9mhFYPe7M=,2023-04-10,59.59
fONcbZLoeXvbHuqXGhVLevXiaH2SpmcrTF7v2DezoSA=,2023-04-10,28.67
