activity_date,user_id,inc_amt
2023-01-14,U379,31.73
2023-01-14,U333,32.47
2023-01-14,U399,30.22
2023-09-27,U625,94.3
2024-06-09,U2432,62.39
2024-06-09,U4087,37.27
2024-06-09,U3788,33.86
2024-06-09,U1319,32.72
2024-06-09,U2148,54.36
2024-06-09,U4020,24.41
2024-06-09,U3481,86.82
2024-06-09,U3968,24.34
2024-06-09,U4514,29.35
2024-06-09,U4305,25.31
2023-01-15,U459,46.97
2023-01-15,U154,31.94
2023-09-28,U309,43.74
2023-09-28,U174,36.52
2023-09-28,U394,45.47
2023-09-28,U655,45.83
2023-09-28,U656,31.26
2023-09-28,U461,42.13
2023-09-28,U552,85.21
2024-06-10,U3215,10.89
2024-06-10,U2615,32.56
2024-06-10,U3479,0.24
2024-06-10,U3369,39.35
2024-06-10,U337,31.43
2024-06-10,U4571,19.1
2024-06-10,U4459,3.93
2024-06-10,U4121,78.88
2024-06-10,U3811,0.3
2024-06-10,U798,52.41
2023-01-16,U465,34.66
2023-01-16,U443,96.1
2023-01-16,U384,98.74
2023-01-16,U467,57.88
2023-01-16,U464,47.94
2023-01-16,U344,31.57
2023-01-16,U466,33.53
2023-09-29,U6,36.2
2023-09-29,U590,53.76
2023-09-29,U421,53.8
2023-09-29,U1,86.59
2024-06-11,U4390,50.56
2024-06-11,U2873,109.82
2024-06-11,U903,44.83
2024-06-11,U4448,41.27
2024-06-11,U4572,62.51
2024-06-11,U4569,31.1
2023-01-17,U401,84.21
2023-01-17,U372,50.7
2023-01-17,U406,49.18
2023-01-17,U337,31.57
2023-01-17,U468,31.04
2023-09-30,U595,24.19
2023-09-30,U659,39.96
2023-01-18,U285,55.38
2023-10-01,U467,51.59
2023-10-01,U622,30.8
2023-10-01,U662,30.55
2024-06-13,U2634,45.81
2024-06-13,U4114,90.74
2024-06-13,U4445,32.45
2024-06-13,U4577,32.54
2024-06-13,U4506,35.91
2024-06-13,U2124,73.46
2024-06-13,U1735,0.06
2024-06-13,U394,53.07
2024-06-13,U891,30.69
2024-06-13,U1003,18.15
2024-06-13,U2710,39.64
2023-01-19,U310,73.62
2023-01-19,U472,46.76
2023-01-19,U385,48.88
2023-01-19,U1,72.43
2023-01-19,U329,31.34
2023-10-02,U471,34.44
2024-06-14,U2346,78.33
2024-06-14,U3653,39.35
2024-06-14,U3257,56.9
2024-06-14,U2490,52.3
2024-06-14,U3470,30.54
2024-06-14,U3950,70.31
2024-06-14,U4581,31.93
2024-06-14,U4147,67.88
2024-06-14,U3225,54.61
2024-06-14,U2181,91.42
2024-06-14,U4576,22.62
2024-06-14,U3495,0.02
2024-06-14,U3785,37.52
2024-06-14,U4567,43.23
2023-01-20,U377,31.04
2023-01-20,U348,60.69
2023-01-20,U455,38.48
2023-01-20,U474,32.36
2023-01-20,U452,42.36
2023-01-20,U403,128.24
2023-01-20,U473,31.34
2023-01-20,U391,37.96
2023-01-20,U282,48.16
2023-10-03,U668,36.62
2023-10-03,U584,59.2
2024-06-15,U3403,42.12
2024-06-15,U3334,43.99
2024-06-15,U3788,46.87
2024-06-15,U14,57.75
2024-06-15,U1221,58.56
2024-06-15,U2919,178.16
2024-06-15,U3347,31.28
2023-01-21,U476,88.71
2023-01-21,U362,60.11
2023-01-21,U312,32.97
2023-01-21,U478,46.46
2023-10-04,U489,93.42
2024-06-16,U540,35.63
2024-06-16,U3589,118.29
2024-06-16,U3729,54.78
2024-06-16,U2065,0.04
2024-06-16,U3968,55.71
2024-06-16,U4274,108.14
2023-01-22,U479,54.45
2023-01-22,U245,37.18
2023-10-05,U131,35.3
2023-10-05,U529,82.8
2023-10-05,U655,34.94
2023-10-05,U671,31.38
2024-06-17,U2615,30.09
2024-06-17,U2921,68.55
2024-06-17,U3980,30.03
2024-06-17,U2287,0.07
2023-01-23,U384,90.31
2023-01-23,U480,35.41
2023-10-06,U672,49.67
2023-10-06,U471,31.22
2023-10-06,U664,47.97
2023-10-06,U309,31.33
2023-10-06,U540,54.42
2023-10-06,U673,30.3
2024-06-18,U774,30.81
2023-01-24,U452,46.45
2023-10-07,U612,44.82
2024-06-19,U4357,3.23
2024-06-19,U4584,57.45
2024-06-19,U1390,34.29
2023-10-08,U687,102.01
2023-10-08,U669,44.65
2023-10-08,U682,16.18
2024-06-20,U4586,15.45
2024-06-20,U903,30.94
2023-01-26,U69,32.64
2023-01-26,U363,31.98
2023-01-26,U171,73.91
2023-01-26,U254,60.83
2023-01-26,U481,74.17
2023-10-09,U62,104.87
2023-10-09,U691,10.87
2023-10-09,U696,12.96
2023-10-09,U688,19.59
2024-06-21,U4445,39.87
2024-06-21,U4417,44.34
2024-06-21,U4137,37.87
2024-06-21,U3754,1.56
2023-01-27,U304,43.3
2023-01-27,U50,31.32
2023-01-27,U337,41.44
2023-01-27,U403,99.43
2023-01-27,U344,30.33
2024-06-22,U3582,50.67
2024-06-22,U3788,51.92
2024-06-22,U1221,58.76
2024-06-22,U3653,44.87
2024-06-22,U1319,30.76
2024-06-22,U788,143.64
2024-06-22,U1582,34.37
2024-06-22,U2139,31.89
2023-01-28,U483,31.39
2023-01-28,U397,33.25
2023-01-28,U307,31.3
2023-01-28,U1,122.23
2023-01-28,U282,65.3
2023-01-28,U150,68.77
2023-01-28,U482,52.0
2023-01-28,U176,110.5
2023-01-28,U455,36.68
2023-01-28,U429,45.2
2023-10-11,U1,76.05
2023-10-11,U552,144.69
2024-06-23,U3720,0.05
2024-06-23,U3666,10.17
2024-06-23,U2873,79.98
2024-06-23,U3218,61.48
2024-06-23,U2548,36.12
2024-06-23,U2615,59.86
2023-01-29,U296,64.76
2023-01-29,U154,32.34
2023-01-29,U25,52.44
2023-01-29,U486,26.0
2023-01-29,U372,70.39
2023-01-29,U2,67.83
2023-01-29,U485,30.33
2023-01-29,U439,132.09
2023-01-29,U399,31.42
2023-10-12,U625,68.04
2023-10-12,U489,71.16
2023-10-12,U372,59.61
2023-10-12,U517,69.86
2024-06-24,U3968,32.13
2024-06-24,U4581,38.81
2023-01-30,U475,61.32
2023-10-13,U711,46.8
2023-10-13,U443,53.9
2023-10-13,U717,50.14
2023-10-13,U713,20.38
2023-10-13,U715,46.6
2023-10-13,U439,81.68
2024-06-25,U2246,0.99
2023-10-14,U639,46.56
2024-06-26,U4401,3.85
2024-06-26,U3830,6.14
2023-02-01,U452,31.7
2023-02-01,U488,67.52
2023-10-15,U664,54.41
2023-10-15,U471,49.19
2024-06-27,U2565,4.54
2024-06-27,U4322,51.99
2023-02-02,U329,30.38
2023-02-02,U489,85.85
2023-02-02,U360,60.42
2023-02-02,U51,43.77
2023-10-16,U586,31.03
2023-10-16,U669,30.34
2023-10-16,U705,49.11
2024-06-28,U4359,74.9
2024-06-28,U4584,39.88
2024-06-28,U4586,16.34
2023-02-03,U23,30.55
2023-02-03,U362,69.9
2023-02-03,U417,30.35
2023-02-03,U396,170.12
2024-06-29,U4506,31.1
2024-06-29,U4171,39.8
2024-06-29,U4595,32.54
2024-06-29,U4567,30.9
2024-06-29,U3788,55.92
2024-06-29,U4577,70.8
2023-02-04,U254,84.96
2023-02-04,U455,32.88
2023-02-04,U490,38.87
2023-10-18,U725,82.0
2024-06-30,U2615,30.27
2023-02-06,U245,79.07
2023-02-06,U377,31.81
2023-10-20,U471,50.41
2023-02-08,U493,33.57
2023-10-22,U471,30.3
2023-10-22,U467,36.45
2023-02-09,U280,38.3
2023-02-09,U131,71.82
2023-02-09,U368,67.92
2023-02-09,U435,31.37
2023-10-23,U449,69.57
2023-10-23,U493,52.53
2023-10-23,U540,47.12
2023-10-23,U743,121.79
2023-02-10,U362,39.63
2023-02-10,U282,60.14
2023-02-10,U254,45.08
2023-02-10,U81,84.0
2023-02-10,U66,30.32
2023-02-10,U1,70.04
2023-02-10,U494,96.16
2023-02-10,U329,33.81
2023-02-10,U378,33.31
2023-02-10,U452,50.61
2023-10-24,U528,30.39
2023-02-11,U495,33.81
2023-02-11,U344,38.76
2023-10-25,U489,125.3
2023-10-25,U174,30.8
2023-10-26,U556,31.08
2023-10-26,U461,43.54
2023-10-26,U6,37.07
2023-02-13,U421,70.42
2023-10-27,U754,46.72
2023-10-27,U753,31.68
2023-10-27,U625,126.77
2023-10-27,U578,41.04
2023-10-27,U372,52.1
2023-10-27,U552,82.51
2023-10-27,U755,41.9
2023-10-28,U759,13.38
2023-10-28,U9,36.94
2023-02-15,U372,58.96
2023-10-29,U725,71.95
2023-10-29,U764,30.18
